tier,brand_name,awareness_score,instagram_followers,business_website
2,BrownWhite,1,,https://brownwhiteindia.com/
2,Rajasthantourism Development Corporation,1,,http://rtdc.tourism.rajasthan.gov.in/
2,Label DC,1,,http://www.labeldc.com
2,Sure Me Multipurpose,1,,https://indiafashionicon.com/awards/
2,Verteil Technologies,1,,https://ndc.deals
2,NK Studio,1,,https://nancykhatri.com/
2,Vallabh Ashram School,1,,http://WWW.VALLABHASHRAM.IN
2,ORN Vacations,1,,https://www.nexusdmc.com/
2,Indian Society Of Critical Care Medicine Education,1,,https://isccm.org
2,ThriveTribe Wellness,1,,https://www.ithrivein.com/
2,Shwetdhara Milk,1,,http://shwetdhararetail.vaikomtech.com/
2,King Lifestyle Vacation,1,,https://www.kinghillstravels.com/
2,VivoPune,1,,HTTPS://VIVOPUNE.COM
2,Caramelly,1,,https://caramelly.in
2,Shivamogga Davanagere Chitradurga District Co-Operative Milk Producer'S Societies Union,1,,https://www.shimul.coop
2,House of Raadhya,1,,https://houseofraadhvi.com/
2,C.D.Textile,1,,https://frenchcrown.in
2,Raviwo Aerticket,1,,https://cockpit.aerticket.in/
2,J T D C,1,,https://jtdcl.jharkhand.gov.in
2,Krishiv Auto,1,,
2,My Flight Trip,1,,http://www.myflighttrip.com
2,TPSTech,1,,https://www.tpstech.in
2,OneTapay,1,,https://onetapay.com/
2,Ochre and Black,1,,https://WWW.GLOBALDESI.IN
2,Arthasetu Innovations,1,,https://travels.paylix.in/
2,Otters Club Revenue Account,1,,https://ottersclub.com/
2,Hourglass Essentials,1,,https://logostore-globalid.in/
2,MyHealthBuddy,1,,https://www.myhealthbuddy.co/
2,Nutritionist Saloni,1,,https://nutritionistsaloni.com
2,Richa's Fitness Lab,1,,https://richafitnesslab.com/
2,JsdBiz,1,,https://www.jsdimmigrations.com
2,Bsh Household Appliances Manufacturing,1,,https://www.extendedwarranty-ap.com/technician/home
2,Reshaindia,1,,http://www.reshaindia.in
2,Enes Textile Mills,1,,https://portal.ramrajcotton.net/
2,Nalli,1,,http://nalli.com
2,Travel Tip,1,,https://apply-online.thetraveltip.co/
4,H&M,5,38.5M,https://www2.hm.com/en_in/index.html
4,Vishal Mega Mart,4,269K,https://www.vishalmegamart.com/
4,Bisleri,5,119K,https://www.bisleri.com/#
4,Eureka Forbes,4,92K,https://www.eurekaforbes.com
4,Westside,4,1M,https://www.westside.com/
4,Astrotalk,4,2M,http://astrotalk.com
4,Barbeque Nation,4,375K,https://www.barbequenation.com/
4,Puma,5,2M,https://in.puma.com/in/en
4,Pizza Hut,5,292K,https://pizzahut.co.in
4,Jockey,4,303K,https://www.jockey.in/
4,Amul,5,544K,https://shop.amul.com/
4,Pizza Hut,5,292K,https://www.pizzahut.co.in
4,Nandini (KMF),4,21K,https://www.kmfnandini.coop/
4,Wonderla,4,528K,https://www.wonderla.com/park-booking
4,Plum Goodness,4,1M,http://plumgoodness.com
4,Cashify,4,108K,https://store.cashify.in
4,Titan,5,655K,https://www.titan.co.in
4,Satvic Movement,4,3M,https://satvicmovement.org
4,Eureka Forbes,4,92K,https://www.eurekaforbes.com/
4,Eureka Forbes,4,92K,https://www.eurekaforbes.com
4,U.S. Polo Assn.,4,533K,https://uspoloassn.nnnow.com
4,Bath & Body Works,4,305K,https://www.bathandbodyworks.in
4,Victoria's Secret,4,332K,https://www.victoriassecret.in/
4,Cashify,4,108K,https://store.cashify.in
4,WOW Skin Science,4,,https://www.buywow.in/
4,Everstylish,4,,http://www.everstylish.com
4,The House of Rare (Rare Rabbit),4,,http://www.thehouseofrare.com
4,ASICS India,5,,https://www.asics.com/in/en-in
4,Pothys,4,,https://www.pothys.com/
4,Eureka Forbes,4,92K,https://www.eurekaforbes.com
4,City Palace Jaipur,4,,https://tickets.citypalace.org/en
4,GaneshaSpeaks,4,,https://www.ganeshaspeaks.com/
4,Cleartrip,4,,https://www.cleartrip.com
4,Faces Canada,4,,https://www.facescanada.com/
4,Mokobara,4,,https://www.mokobara.com
4,Shrishti Jewels,4,,http://shrishtijewels.in
4,Decathlon Sports India,5,,https://www.decathlon.in/
4,Sri Sri Tattva,4,,http://www.srisritattva.com
4,Urban Monkey,4,,https://www.urbanmonkey.com/
4,Prestige Holiday Resorts,5,,https://www.karmaexperience.com/
4,StayVista,4,,https://www.vistarooms.com/
4,MuscleTech India,4,,https://www.muscletech.in/
4,Aldo,4,,https://www.aldoshoes.in
4,Sleepwell,5,,https://www.mysleepwell.com
4,Charles & Keith,4,,https://www.charleskeith.in/in
4,Titan,5,655K,http://www.titan.co.in
4,WoodenStreet,4,,https://www.woodenstreet.com
4,The Loom,4,,https://www.theloom.in/
4,Duroflex,4,,https://mysleepyhead.com/
4,BlingBag,4,,http://www.blingbag.co.in
4,Royal Enfield,5,,https://store.royalenfield.com/en/
4,Cult.fit,5,,https://www.cult.fit/
4,KALKI Fashion,4,,https://in.kalkifashion.com/
4,TTK Prestige,5,,https://shop.ttkprestige.com/
4,Kama Ayurveda,4,,https://www.kamaayurveda.com/
4,Pernia's Pop-Up Shop,4,,https://www.perniaspopupshop.com/
4,WoodenStreet,4,,https://www.woodenstreet.com/
4,Fizzy Goblet,4,,http://www.fizzygoblet.com
4,Ultrahuman,4,,https://ultrahuman.com/
4,Thrillophilia,4,,http://www.thrillophilia.com
4,Blackberrys,4,,https://blackberrys.com/
4,Lenovo,5,,https://www.lenovo.com/
4,Titan,5,655K,https://www.taneira.com/
4,Onitsuka Tiger,5,,https://www.onitsukatiger.com/
