tier,brand_name,awareness_score,instagram_followers,business_website
2,Liliyum Patisserie,2,,https://liliyum.com/
2,Eka.care (Orbi Health),2,,https://www.eka.care/
2,TBO,2,,https://www.travelboutiqueonline.com/
2,USANA,2,,https://sso.usana.com/enu-GB/login/https:%2F%2Fwww.usana.com%2FUX%2FDOTCOM%2FENU-IN%2FHOME
2,Sova Health,2,,https://www.sova.health/
2,Fairfest Media,2,,https://fairfest.in/
2,Zama Organics,2,,http://Www.zamaorganics.com
2,Noor Chikankari,2,,https://noorchikankari.in/
2,TBO,2,,https://www.travelboutiqueonline.com/
2,Underdog Athletics India,2,,https://www.underarmour.in
2,Shades of Spring,2,,https://www.shadesofspring.in
2,Smart Choice India,2,,https://smartchoiceindia.com/
2,Cumin Co,2,,http://www.cuminco.com
2,ProMom,2,,http://www.promom.in
2,Alphamen by Sagar Ahuja,2,,https://alphamen.in/
2,Chandrani Pearls,2,,https://chandranipearls.in/
2,VMax Fitness,2,,https://www.vmaxhealthtech.com/
2,Miakee,2,,https://miakee.com/
2,The Audio Store,2,,https://www.theaudiostore.in/
2,Truffle,2,,https://www.truffleindia.com
2,Toycra,2,,http://toycra.com
2,Protyze,2,,https://www.protyze.com/
2,Yusuf Bhai Perfumes,2,,https://yusufbhaifragrances.in/
2,Amydus,2,,https://www.amydus.com/pages/privacy-policy
2,Mango Mist,2,,http://www.mangomist.com
2,Deliciae,2,,https://orders.delcakes.in
2,ParaFit,2,,https://parafit.in/
2,CoinBazzar,2,,https://coinbazzar.com/
2,The Yellow Dwelling,2,,https://www.theyellowdwelling.com
2,Rudraksha Ratna,2,,https://www.rudraksha-ratna.com/
2,The PostBox,2,,http://www.thepostbox.in
2,Curious Cub,2,,https://curiouscub.in/
2,OnePlay,2,,https://store.oneplay.in/
2,Skinnsi,2,,https://skinnsi.in/
2,JustVend,1,,https://play.google.com/store/apps/details?id=com.justvend&hl=en_IN&gl=US
2,BookMyHSRP,1,4.2K,http://bookmyhsrp.com
2,Bon-Cuisine,1,,https://bon-cuisine.in/
2,SmartQ / Compass,1,1.2K,https://play.google.com/store/apps/details?id=com.thesmartq.compass.foodbook&hl=en&gl=US
2,CityMall / RashanBox,1,160K,https://play.google.com/store/apps/details?id=live.citymall.customer.prod
2,Arjun Hospitality,1,,https://arjunhospitality.com/
2,Changepay,1,188,http://changepay.co/
2,Elior India,1,155,https://www.elior.in
2,Brightboost Printing,1,,https://play.google.com/store/apps/details?id=com.mobile.cover.photo.phonecasemaker.printcover
2,Travelogy Online,1,935,https://www.travelogy.online/
2,DivineTalk,1,114K,https://divinetalk.in/
2,Hassan Co-Operative Milk Producers Societies,1,,https://hamul.coop/
2,India Running,1,46K,https://www.indiarunning.com/
2,Fresh Dairy Products,1,,https://play.google.com/store/apps/details?id=com.fresh.milk&hl=en
2,Slikk Club,1,45K,https://slikk.club
2,Jumbotail,1,165,https://jumbotail.com/
2,IDFC First Shopstacc,1,,https://idfcfirst.shopstacc.com/
2,Not found,1,,https://play.google.com/store/apps/details?id=com.acs.viben
2,Not found on Instagram,1,,https://apps.apple.com/in/app/jedlo-food-order-delivery/id1486062368
2,Ripple Infra,1,,https://billing.rippleinfra.com/billing/login.jsp
2,Potafo,1,,https://www.potafo.in/
2,TripoDeal,1,2K,https://www.tripodeal.com/
2,Fit India,1,,https://play.google.com/store/apps/details?id=com.bharuwa.orderme
2,MaxDrops,1,,https://maxdrops-exclusiverod5.rollout.site/
2,Comet,1,325K,https://www.wearcomet.com/
2,Ticket9,1,30K,https://www.theticket9.com/
2,Axis Travel Edge,1,,http://traveledge.axisbank.co.in
2,Nuwaara,1,,https://nuwaara.com/
2,RCM World,1,38K,http://rcmworld.com/
2,Omgs,1,,https://omgs.in
2,Huepress Fashion,1,,https://qikink.com/
2,Saffrron,1,,https://saffrron.in/
2,Zaaroz,1,,https://www.zaaroz.com
2,La Rosa Boutique,1,,https://larosaalpy.com/
2,The Unity Tourism,1,,https://theunitytourism.com/
2,Mystore,1,,https://www.mystore.in/en/
2,Nicobar Design Private L,1,,https://www.nicobar.com/
2,Wellness Vibe,1,,http://www.wellnessvibe.com
2,Zumbo Innovations,1,,https://play.google.com/store/apps/details?id=com.joinjumbo
2,Aptus Value Housing Finance,1,,http://www.aptusindia.com
2,Oxygen Magnesium,1,,https://theformularx.com/
2,The Good Health,1,,https://www.thegoodhealth.co.in
2,Imagine Healthfin,1,,https://www.alyve.health/
2,Faith and Patience,1,,http://WWW.FAITHANDPATIENCE.CO.IN
2,Dot & Key Skincare,1,,https://www.dotandkey.com/
2,Little Bear Wellness Ventures,1,,https://leezus.com/collections/all
2,Esh Value Astroji Services,1,,https://astroji.com/
2,A O Smith India Water Products,1,,https://www.aosmithindia.com/
2,Globillete Entertainment Solutions,1,,https://www.ticketkhidakee.com
2,iFinish,1,,https://www.ifinish.in
2,Millions Kart,1,,https://ciaocases.com/
2,Circuitloop Technologies,1,,https://quartzcomponents.com
2,Ras Beauty,1,,https://www.rasluxuryoils.com
2,Devpunya,1,,https://devpunya.com/
2,Black Leaf Enterprise,1,,https://www.heybuyers.in/
2,Feathers jewellery,1,,https://www.featherscart.com
2,Kaushalya Art Jewellery,1,,https://www.kaushalyaartjewellery.com
2,Sna Milk And Milk Products,1,,https://www.desifarmsindia.in
2,Desert Online General Trading LLC,1,,https://www.desertcart.in/
2,Trackbudget Tours & Travels,1,,https://www.budgetticket.in/
2,Siti Maurya Cable Net Private,1,,http://www.sitinetworks.com
