tier,brand_name,awareness_score,instagram_followers,business_website
2,Saregama,5,,http://www.saregama.com
2,Bajaj Markets,5,,https://www.bajajfinservmarkets.in/
2,Himalaya Wellness,5,,https://himalaya-wellness-india.myshopify.com
2,Purplle,5,,https://mycarmesi.com/
2,Hare Krishna Movement / ISKCON,5,,https://www.harekrishnavizag.org/
2,Bosch Home India,5,,https://www.bosch-home.in/
2,Tupperware India,5,,https://www.shoptupperware.in/
2,The Basics Woman,5,,https://thebasicswoman.com/
2,Cult.fit,5,,http://www.cure.fit
2,Acer India,5,,https://shopacer.co.in/
2,Taco Bell India,4,,https://www.tacobell.co.in/
2,Plix (PlixLife),4,,https://www.plixlife.com
2,Mathrubhumi,4,,https://www.mbifl.com/
2,Peachmode,4,,http://peachmode.com
2,The Face Shop India,4,,http://www.thefaceshop.in
2,DS Group,4,,https://rajnigandha.com
2,SkinKraft,4,,https://skinkraft.com
2,Madhura's Recipe,4,,https://madhurasrecipeclub.com/
2,Shivohaam,4,,https://shivohamofficial.com/
2,Vandalur Zoo (Arignar Anna Zoo),4,,https://www.aazp.in/
2,Mysuru Zoo,4,,https://www.mysuruzoo.info/
2,Shiv Naresh,4,,https://shivnaresh.in/index.php?route=common/home
2,Shahnaz Husain,4,,http://www.shahnaz.in
2,Kalamandir,4,,https://brandmandir.com/
2,Cloudnine Hospitals,4,,https://shop.cloudninecare.com/
2,Dinamalar,4,,http://www.dinamalar.com
2,Snapdeal,4,,https://www.snapdeal.com/
2,Gold Winner (Kaleesuwari),4,,https://kaleesuwari.com/
2,Speedo India,4,,https://Speedo.in
2,Aachi Masala,4,,https://aachifoods.com
2,Akshayakalpa,3,111K,https://www.akshayakalpa.org
2,Pilgrim,3,1M,http://www.discoverpilgrim.com
2,Chaayos,3,117K,https://chaayos.com/
2,Wow Momo,3,108K,https://staging.wowmomo.com
2,Miraj Cinemas,3,101K,http://www.mirajcinemas.com/
2,Treebo Hotels,3,172K,http://www.treebohotels.com
2,The Hosteller,3,672K,https://www.thehosteller.com
2,Nat Habit,3,515K,http://nathabit.in
2,XYXX Crew,3,178K,http://www.xyxxcrew.com
2,Magicpin,3,166K,https://magicpin.in/
2,Nestasia,3,1M,https://nestasia.in/
2,Klook,3,133K,https://www.klook.com/
2,InstaAstro,3,663K,https://www.instaastro.com/
2,Maccaron,3,157K,https://www.maccaron.in/en/
2,Teamwork Arts / JLF,3,110K,http://www.teamworkarts.com
2,FabHotels,3,21K,https://www.fabhotels.com
2,MediBuddy,3,24K,https://www.docsapp.in
2,Fitelo,3,605K,https://fitelo.co/
2,The Whole Truth Foods,3,355K,https://thewholetruthfoods.com/
2,FTH Daily / FreshToHome,3,,https://www.fthdaily.com
2,The Sleep Company,3,215K,https://thesleepcompany.in/
2,Nutrabay,3,125K,https://nutrabay.com
2,Superbottoms,3,485K,https://www.superbottoms.com
2,Emma Sleep,3,317K,https://emma-sleep.in/
2,Home Essentials,3,174K,https://homeessentials.in/
2,Zostel,3,943K,https://www.zostel.com/
2,Lollipopz Boutique,3,757K,https://lollipopzboutique.com
2,Biryani By Kilo,3,75K,https://www.biryanibykilo.com
2,MyProtein,3,289K,https://www.myprotein.co.in/
2,N/A (sells under KMF Nandini brand),3,,https://www.motherdairykmf.in/
2,Moon Goddess Couture,3,4M,https://moongoddesscouture.com/
2,The Good Bug,3,1M,https://thegoodbug.com/
2,Headphone Zone,3,146K,http://www.headphonezone.in
2,RailRestro,3,122K,https://www.railrestro.com
2,Monte Carlo,3,83K,https://www.montecarlo.in/
2,Style Union,3,,https://styleunion.in/
2,Yogabar,3,,https://www.yogabars.in/
2,Bloom Hotels,3,,https://staybloom.com/
2,Livpure,3,,https://www.livpuresmart.com/
2,Littlebox India,3,,https://littleboxindia.com/
2,kindlife,3,,https://kindlife.in/
2,InterMiles,3,,https://www.intermiles.com
2,The Binge Town,3,,http://thebingetown.com/
2,Vanaura Organics,3,,https://vanauraorganics.com/
2,Nestaway,3,,https://www.nestaway.com
2,Ugaoo,3,,https://www.ugaoo.com/
2,Vaaree,3,,https://www.vaaree.com
2,Simply Nam,3,,https://www.simplynam.com/
2,Muthoot Pappachan Chits,3,,https://muthootchits.com/
2,Arya Collections,3,,https://aryacollections.com/
2,MyMuse,3,,https://mymuse.in
2,Rajiv Talreja,3,,https://www.rajivtalreja.com
2,House of Em5,3,,http://www.houseofem5.com
2,Haappy Herbs,3,,https://haappyherbs.com
2,Oye Happy,3,,https://www.oyehappy.com/
2,ThriveCo,3,,https://www.thriveco.in/
2,Mapro Garden,3,,https://menu.tmbill.com/brand/mazaanacafe
2,Secret Haircare,3,,https://www.thesecrethaircare.com/
2,Label Jenn,3,,https://www.thelabeljenn.com
2,Jaipur Kurti,3,,https://thejaipurkurti.com/
2,Urban Platter,3,,https://urbanplatterr.myshopify.com/
2,Tata NutriKorner,3,,https://tatanutrikorner.com
2,Not found separately,3,,https://play.google.com/store/apps/details?id=live.citymall.customer.prod
2,Nidharshana Sarees,3,,http://www.nidharshanasarees.in
2,MySanskritam,3,,https://www.mysanskritam.com/
2,IHA Designs,3,,https://ihadesigns.in/
2,inde wild,3,,https://india.indewild.com/
2,Plan B (yougotplanb),3,,https://www.yougotplanb.com/
2,Zomunk,3,,http://www.zomunk.com
2,Qubo (Hero Group),3,,https://www.quboworld.com
