tier,brand_name,awareness_score,instagram_followers,business_website
4,The Yoga Institute,4,,https://theyogainstitute.org
4,Acer India,5,,https://store.acer.com/en-in
4,Akbar Travels,4,,https://www.akbartravels.com/in/flight
4,InterMiles,4,,https://www.jetprivilege.com
4,Sleepwell,5,,http://www.sheelafoam.com
4,Thomas Cook India,4,,https://www.thomascook.in/
4,Thomas Cook India,4,,http://www.thomascook.in
4,Ogaan,4,,https://www.ogaan.com/
4,Nespresso,5,,https://www.nespresso.com/in/
4,Raw Mango,4,,https://rawmango.com/
4,Luke Coutinho,4,,https://www.lukecoutinho.com
